source,target,type,source_type,target_type,0
178,2,reporta_a,cuadra,health_post,0.07846637
179,2,reporta_a,cuadra,health_post,0.06028613
180,2,reporta_a,cuadra,health_post,0.1414656
181,2,reporta_a,cuadra,health_post,0.05282481
182,2,reporta_a,cuadra,health_post,0.07303234
183,2,reporta_a,cuadra,health_post,0.06425561
184,2,reporta_a,cuadra,health_post,0.047268145
185,2,reporta_a,cuadra,health_post,0.03744626
186,2,reporta_a,cuadra,health_post,0.05855544
187,2,reporta_a,cuadra,health_post,0.12941362
188,2,reporta_a,cuadra,health_post,0.10963668
189,2,reporta_a,cuadra,health_post,0.083605886
190,2,reporta_a,cuadra,health_post,0.067818545
191,2,reporta_a,cuadra,health_post,0.04610417
192,2,reporta_a,cuadra,health_post,0.003651768
193,2,reporta_a,cuadra,health_post,0.08818092
194,2,reporta_a,cuadra,health_post,0.08234603
195,2,reporta_a,cuadra,health_post,0.10258862
196,2,reporta_a,cuadra,health_post,0.110795245
197,2,reporta_a,cuadra,health_post,0.106759116
198,2,reporta_a,cuadra,health_post,0.1286349
199,2,reporta_a,cuadra,health_post,0.14329752
200,2,reporta_a,cuadra,health_post,0.13051455
201,2,reporta_a,cuadra,health_post,0.12953122
202,2,reporta_a,cuadra,health_post,0.15155773
203,2,reporta_a,cuadra,health_post,0.020527177
204,2,reporta_a,cuadra,health_post,0.15455073
205,2,reporta_a,cuadra,health_post,0.17026961
206,2,reporta_a,cuadra,health_post,0.17264727
207,2,reporta_a,cuadra,health_post,0.1727895
208,2,reporta_a,cuadra,health_post,0.17364605
209,2,reporta_a,cuadra,health_post,0.17444772
210,2,reporta_a,cuadra,health_post,0.032292236
211,2,reporta_a,cuadra,health_post,0.05416696
212,2,reporta_a,cuadra,health_post,0.061290015
213,2,reporta_a,cuadra,health_post,0.053543925
214,2,reporta_a,cuadra,health_post,0.046713624
215,2,reporta_a,cuadra,health_post,0.07262371
216,2,reporta_a,cuadra,health_post,0.07918036
217,2,reporta_a,cuadra,health_post,0.12904379
218,2,reporta_a,cuadra,health_post,0.12816867
219,2,reporta_a,cuadra,health_post,0.110139914
220,2,reporta_a,cuadra,health_post,0.1753826
221,2,reporta_a,cuadra,health_post,0.14277244
222,2,reporta_a,cuadra,health_post,0.11367267
223,2,reporta_a,cuadra,health_post,0.09168244
224,2,reporta_a,cuadra,health_post,0.1420583
225,2,reporta_a,cuadra,health_post,0.16673292
226,2,reporta_a,cuadra,health_post,0.18941769
227,2,reporta_a,cuadra,health_post,0.19930597
228,2,reporta_a,cuadra,health_post,0.22462909
229,2,reporta_a,cuadra,health_post,0.24032904
230,2,reporta_a,cuadra,health_post,0.18488757
231,2,reporta_a,cuadra,health_post,0.15466422
232,2,reporta_a,cuadra,health_post,0.25353315
233,2,reporta_a,cuadra,health_post,0.24316104
234,1,reporta_a,cuadra,health_post,0.18826999
235,1,reporta_a,cuadra,health_post,0.12871924
236,1,reporta_a,cuadra,health_post,0.1018879
237,1,reporta_a,cuadra,health_post,0.067946464
238,1,reporta_a,cuadra,health_post,0.07326651
239,1,reporta_a,cuadra,health_post,0.08338237
240,1,reporta_a,cuadra,health_post,0.07377507
241,1,reporta_a,cuadra,health_post,0.05852207
242,1,reporta_a,cuadra,health_post,0.055321913
243,2,reporta_a,cuadra,health_post,0.21463959
244,2,reporta_a,cuadra,health_post,0.10829899
245,2,reporta_a,cuadra,health_post,0.10240424
246,2,reporta_a,cuadra,health_post,0.099558
247,2,reporta_a,cuadra,health_post,0.099713504
248,2,reporta_a,cuadra,health_post,0.13125302
249,2,reporta_a,cuadra,health_post,0.12680219
250,2,reporta_a,cuadra,health_post,0.124030374
251,2,reporta_a,cuadra,health_post,0.12186184
252,2,reporta_a,cuadra,health_post,0.11743314
253,2,reporta_a,cuadra,health_post,0.11433039
254,2,reporta_a,cuadra,health_post,0.19863428
255,2,reporta_a,cuadra,health_post,0.122347176
256,2,reporta_a,cuadra,health_post,0.14091194
257,2,reporta_a,cuadra,health_post,0.14874251
258,2,reporta_a,cuadra,health_post,0.15638927
259,2,reporta_a,cuadra,health_post,0.15331697
260,2,reporta_a,cuadra,health_post,0.17321582
261,2,reporta_a,cuadra,health_post,0.16288747
262,2,reporta_a,cuadra,health_post,0.169588
263,2,reporta_a,cuadra,health_post,0.17971481
264,2,reporta_a,cuadra,health_post,0.19261089
265,2,reporta_a,cuadra,health_post,0.17640375
266,2,reporta_a,cuadra,health_post,0.18326952
267,2,reporta_a,cuadra,health_post,0.19298245
268,2,reporta_a,cuadra,health_post,0.20094687
269,2,reporta_a,cuadra,health_post,0.2095216
270,2,reporta_a,cuadra,health_post,0.20834878
271,2,reporta_a,cuadra,health_post,0.19960657
272,2,reporta_a,cuadra,health_post,0.1796321
273,2,reporta_a,cuadra,health_post,0.19345553
274,2,reporta_a,cuadra,health_post,0.18763252
275,2,reporta_a,cuadra,health_post,0.20095825
276,2,reporta_a,cuadra,health_post,0.20686726
277,2,reporta_a,cuadra,health_post,0.21602213
278,2,reporta_a,cuadra,health_post,0.23225647
279,2,reporta_a,cuadra,health_post,0.22299628
280,2,reporta_a,cuadra,health_post,0.21375439
281,2,reporta_a,cuadra,health_post,0.20798765
282,2,reporta_a,cuadra,health_post,0.16602457
283,2,reporta_a,cuadra,health_post,0.21549742
284,2,reporta_a,cuadra,health_post,0.22111069
285,2,reporta_a,cuadra,health_post,0.23007578
286,1,reporta_a,cuadra,health_post,0.22888009
287,1,reporta_a,cuadra,health_post,0.21978237
288,1,reporta_a,cuadra,health_post,0.21104906
289,1,reporta_a,cuadra,health_post,0.21973439
290,1,reporta_a,cuadra,health_post,0.22117446
291,1,reporta_a,cuadra,health_post,0.21229279
292,1,reporta_a,cuadra,health_post,0.21474998
293,2,reporta_a,cuadra,health_post,0.1537543
294,1,reporta_a,cuadra,health_post,0.22327712
295,2,reporta_a,cuadra,health_post,0.22320499
296,1,reporta_a,cuadra,health_post,0.21657705
297,1,reporta_a,cuadra,health_post,0.21839854
298,2,reporta_a,cuadra,health_post,0.21834403
299,2,reporta_a,cuadra,health_post,0.10439125
300,2,reporta_a,cuadra,health_post,0.17811155
301,2,reporta_a,cuadra,health_post,0.13710411
302,2,reporta_a,cuadra,health_post,0.13835765
303,2,reporta_a,cuadra,health_post,0.14200464
304,2,reporta_a,cuadra,health_post,0.13994005
305,2,reporta_a,cuadra,health_post,0.14901155
306,2,reporta_a,cuadra,health_post,0.1275884
307,2,reporta_a,cuadra,health_post,0.11701879
308,2,reporta_a,cuadra,health_post,0.22076826
309,2,reporta_a,cuadra,health_post,0.22366202
310,2,reporta_a,cuadra,health_post,0.21520247
311,2,reporta_a,cuadra,health_post,0.23756757
312,1,reporta_a,cuadra,health_post,0.22941278
313,2,reporta_a,cuadra,health_post,0.2116323
314,2,reporta_a,cuadra,health_post,0.19042513
315,2,reporta_a,cuadra,health_post,0.18806991
316,2,reporta_a,cuadra,health_post,0.1859939
317,2,reporta_a,cuadra,health_post,0.17929228
318,2,reporta_a,cuadra,health_post,0.19216046
319,2,reporta_a,cuadra,health_post,0.20142876
320,2,reporta_a,cuadra,health_post,0.2123583
321,2,reporta_a,cuadra,health_post,0.22643821
322,1,reporta_a,cuadra,health_post,0.2156207
323,1,reporta_a,cuadra,health_post,0.18612975
324,1,reporta_a,cuadra,health_post,0.20295647
325,1,reporta_a,cuadra,health_post,0.21610627
326,2,reporta_a,cuadra,health_post,0.21634012
327,2,reporta_a,cuadra,health_post,0.19538048
328,2,reporta_a,cuadra,health_post,0.1831677
329,2,reporta_a,cuadra,health_post,0.20828873
330,2,reporta_a,cuadra,health_post,0.19015355
331,2,reporta_a,cuadra,health_post,0.20268077
332,1,reporta_a,cuadra,health_post,0.2174859
333,1,reporta_a,cuadra,health_post,0.20343743
334,1,reporta_a,cuadra,health_post,0.20988685
335,1,reporta_a,cuadra,health_post,0.19329312
336,1,reporta_a,cuadra,health_post,0.18279022
337,1,reporta_a,cuadra,health_post,0.18519649
338,1,reporta_a,cuadra,health_post,0.16084659
339,1,reporta_a,cuadra,health_post,0.16732208
340,2,reporta_a,cuadra,health_post,0.22641742
341,1,reporta_a,cuadra,health_post,0.173425
342,2,reporta_a,cuadra,health_post,0.21175897
343,2,reporta_a,cuadra,health_post,0.2257138
344,2,reporta_a,cuadra,health_post,0.22463946
345,2,reporta_a,cuadra,health_post,0.22370411
346,2,reporta_a,cuadra,health_post,0.12394502
347,2,reporta_a,cuadra,health_post,0.060150705
348,2,reporta_a,cuadra,health_post,0.048458982
349,2,reporta_a,cuadra,health_post,0.05202723
350,2,reporta_a,cuadra,health_post,0.0721203
351,2,reporta_a,cuadra,health_post,0.06235715
352,2,reporta_a,cuadra,health_post,0.045665517
353,2,reporta_a,cuadra,health_post,0.038350523
354,2,reporta_a,cuadra,health_post,0.03224844
355,2,reporta_a,cuadra,health_post,0.026676457
356,2,reporta_a,cuadra,health_post,0.036320772
357,2,reporta_a,cuadra,health_post,0.12151157
358,2,reporta_a,cuadra,health_post,0.045816723
359,2,reporta_a,cuadra,health_post,0.07410926
360,2,reporta_a,cuadra,health_post,0.08554311
361,2,reporta_a,cuadra,health_post,0.07848587
362,2,reporta_a,cuadra,health_post,0.06107157
363,2,reporta_a,cuadra,health_post,0.08034539
364,2,reporta_a,cuadra,health_post,0.06619021
365,2,reporta_a,cuadra,health_post,0.05532892
366,2,reporta_a,cuadra,health_post,0.056557294
367,2,reporta_a,cuadra,health_post,0.10964888
368,2,reporta_a,cuadra,health_post,0.047383253
369,2,reporta_a,cuadra,health_post,0.03866465
370,2,reporta_a,cuadra,health_post,0.030158276
371,2,reporta_a,cuadra,health_post,0.020942645
372,2,reporta_a,cuadra,health_post,0.012419273
373,2,reporta_a,cuadra,health_post,0.09813263
374,2,reporta_a,cuadra,health_post,0.08583713
375,2,reporta_a,cuadra,health_post,0.0882214
376,2,reporta_a,cuadra,health_post,0.07298517
377,2,reporta_a,cuadra,health_post,0.09723644
378,2,reporta_a,cuadra,health_post,0.110513344
379,2,reporta_a,cuadra,health_post,0.115058765
380,2,reporta_a,cuadra,health_post,0.12406839
381,2,reporta_a,cuadra,health_post,0.13207427
382,2,reporta_a,cuadra,health_post,0.12397256
383,2,reporta_a,cuadra,health_post,0.11953301
384,2,reporta_a,cuadra,health_post,0.1274444
385,2,reporta_a,cuadra,health_post,0.13158779
386,2,reporta_a,cuadra,health_post,0.13944612
387,2,reporta_a,cuadra,health_post,0.15280704
388,2,reporta_a,cuadra,health_post,0.09282335
389,2,reporta_a,cuadra,health_post,0.1384384
390,2,reporta_a,cuadra,health_post,0.15049642
391,2,reporta_a,cuadra,health_post,0.15411848
392,2,reporta_a,cuadra,health_post,0.1610774
393,2,reporta_a,cuadra,health_post,0.16976087
394,2,reporta_a,cuadra,health_post,0.16310593
395,2,reporta_a,cuadra,health_post,0.15954185
396,2,reporta_a,cuadra,health_post,0.16822366
397,2,reporta_a,cuadra,health_post,0.17204165
398,2,reporta_a,cuadra,health_post,0.1781188
399,2,reporta_a,cuadra,health_post,0.102031685
400,2,reporta_a,cuadra,health_post,0.187226
401,2,reporta_a,cuadra,health_post,0.18086432
402,2,reporta_a,cuadra,health_post,0.17761597
403,2,reporta_a,cuadra,health_post,0.088532045
404,2,reporta_a,cuadra,health_post,0.10857345
405,2,reporta_a,cuadra,health_post,0.11597156
406,2,reporta_a,cuadra,health_post,0.10232935
407,2,reporta_a,cuadra,health_post,0.0928528
408,2,reporta_a,cuadra,health_post,0.10113801
409,2,reporta_a,cuadra,health_post,0.15727508
