attr0,attr1,water_channel_id
8188311.0,218732.16,158
8190773.0,221851.86,159
8185939.0,219739.34,160
8188601.5,220892.78,161
8193380.0,223823.4,162
8193310.0,223309.45,163
8193837.0,222677.44,164
8192822.0,222180.67,165
8193051.0,220376.34,166
8194362.0,223959.5,167
8194156.5,223796.11,168
8194040.5,220274.48,169
8193845.5,220146.53,170
8193532.0,219728.4,171
8193299.5,221657.88,172
8193238.0,220940.38,173
8191110.5,219145.97,174
8193594.0,218853.55,175
8172032.5,236756.94,176
8172220.0,234905.23,177
8171855.5,235303.62,178
8174031.5,231996.27,179
8174394.5,231656.6,180
8174492.0,234074.73,181
8174467.5,234459.03,182
8175211.0,238165.08,183
8180764.5,236572.86,184
8180247.5,236557.28,185
8180452.5,236253.5,186
8180686.5,235126.94,187
8181112.0,234985.14,188
8178329.5,236017.75,189
8182615.5,237804.92,190
8182907.5,238304.08,191
8189264.5,234342.28,192
8189162.5,233552.66,193
8187352.5,236055.88,194
8192777.0,231225.72,195
8194704.0,231269.23,196
8196181.5,230192.4,197
8197940.5,227285.73,198
8192572.5,218503.52,199
8190442.5,232681.1,200
8190159.0,233069.33,201
8190222.0,232663.52,202
8190695.0,232602.38,203
8190758.0,231949.0,204
8191349.0,232571.4,205
8181082.5,220888.73,206
8182878.5,218366.95,207
8183270.0,219164.64,208
8189500.0,215508.1,209
8189290.0,215547.84,210
8196793.0,217189.88,211
8196212.0,216854.16,212
8196102.5,216703.44,213
8195947.5,216515.83,214
8197856.5,218330.02,215
8196589.0,217793.38,216
8184255.5,215372.11,217
