attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,cuadra_id
0.26535696,0.3899169,0.0,1.0,0.0,0.0,1.0,0.0,45
0.27400053,0.40343928,0.0,1.0,0.0,0.0,1.0,0.0,46
0.27577448,0.36804873,0.0,1.0,0.0,0.0,0.0,1.0,47
0.20071708,0.33621103,0.0,1.0,0.0,0.0,0.0,1.0,48
0.19770306,0.34122613,0.0,1.0,0.0,0.0,0.0,1.0,49
0.19441384,0.34622434,0.0,1.0,0.0,0.0,0.0,1.0,50
0.21558282,0.3513083,1.0,1.0,0.0,0.0,0.0,1.0,51
0.21843913,0.3463511,0.0,1.0,0.0,0.0,0.0,1.0,52
0.22136945,0.3407208,0.0,1.0,0.0,0.0,0.0,1.0,53
0.22466134,0.33538026,0.0,1.0,0.0,0.0,0.0,1.0,54
0.2284918,0.32855052,0.0,1.0,0.0,0.0,0.0,1.0,55
0.24945222,0.33091232,0.0,1.0,0.0,0.0,0.0,1.0,56
0.25809193,0.33754683,0.0,1.0,0.0,0.0,0.0,1.0,57
0.24693914,0.33905515,0.0,1.0,0.0,0.0,0.0,1.0,58
0.24304941,0.34596223,0.0,1.0,0.0,0.0,0.0,1.0,59
0.23987396,0.35137975,0.0,1.0,0.0,0.0,0.0,1.0,60
0.23683296,0.3568493,0.0,1.0,0.0,0.0,0.0,1.0,61
0.233904,0.36169833,0.0,1.0,0.0,0.0,0.0,1.0,62
0.2510019,0.3676042,0.0,1.0,0.0,0.0,0.0,1.0,63
0.25632322,0.3655379,0.0,1.0,0.0,0.0,0.0,1.0,64
0.2618573,0.36246434,0.0,1.0,0.0,0.0,0.0,1.0,65
0.24939497,0.31983313,0.0,1.0,0.0,0.0,0.0,1.0,66
0.27488875,0.37913808,0.0,1.0,0.0,0.0,0.0,1.0,67
0.26821008,0.38158295,0.0,1.0,0.0,0.0,0.0,1.0,68
0.24899834,0.37459847,0.0,1.0,0.0,0.0,1.0,0.0,69
0.2277358,0.3650404,0.0,1.0,0.0,0.0,0.0,1.0,70
0.19355947,0.31781778,0.0,1.0,0.0,0.0,1.0,0.0,71
0.18665318,0.31905612,0.0,1.0,0.0,0.0,1.0,0.0,72
0.1787884,0.31664595,0.0,1.0,0.0,0.0,0.0,0.0,73
0.16335605,0.30164015,0.0,1.0,0.0,0.0,0.0,0.0,74
0.1710863,0.30022728,0.0,1.0,0.0,0.0,1.0,0.0,75
0.17615223,0.29652324,0.0,1.0,0.0,0.0,1.0,0.0,76
0.1820932,0.29132202,0.0,1.0,0.0,0.0,1.0,0.0,77
0.18088533,0.2540584,0.0,1.0,0.0,0.0,0.0,0.0,78
0.17956339,0.2610683,0.0,1.0,0.0,0.0,1.0,0.0,79
0.17286986,0.26663682,0.0,1.0,0.0,0.0,1.0,0.0,80
0.16614072,0.27206004,0.0,1.0,0.0,0.0,1.0,0.0,81
0.16007894,0.27714768,0.0,1.0,0.0,0.0,1.0,0.0,82
0.15532349,0.28113782,0.0,1.0,0.0,0.0,1.0,0.0,83
0.15374221,0.29371473,0.0,1.0,0.0,0.0,0.0,0.0,84
0.1293177,0.26553392,0.0,1.0,0.0,0.0,0.0,0.0,85
0.14171775,0.26460233,0.0,1.0,0.0,0.0,1.0,0.0,86
0.14646018,0.26053244,0.0,1.0,0.0,0.0,1.0,0.0,87
0.15266323,0.2555687,0.0,1.0,0.0,0.0,0.0,0.0,88
0.15708047,0.2519234,0.0,1.0,0.0,0.0,1.0,0.0,89
0.16159181,0.24848624,0.0,1.0,0.0,0.0,1.0,0.0,90
0.16597915,0.2447385,0.0,1.0,0.0,0.0,0.0,0.0,91
0.17050318,0.24095988,0.0,1.0,0.0,0.0,1.0,0.0,92
0.17603326,0.23961964,0.0,1.0,0.0,0.0,1.0,0.0,93
0.21157514,0.24499124,0.0,1.0,0.0,0.0,1.0,0.0,94
0.20115548,0.23392317,0.0,1.0,0.0,0.0,1.0,0.0,95
0.15348941,0.23863782,0.0,1.0,0.0,0.0,1.0,0.0,96
0.1479286,0.24077809,0.0,1.0,0.0,0.0,0.0,0.0,97
0.1420455,0.24279484,0.0,1.0,0.0,0.0,1.0,0.0,98
0.13473192,0.24628907,0.0,1.0,0.0,0.0,1.0,0.0,99
0.12905784,0.24945559,0.0,1.0,0.0,0.0,1.0,0.0,100
0.123867616,0.25181147,0.0,1.0,0.0,0.0,0.0,0.0,101
0.1188405,0.254345,0.0,1.0,0.0,0.0,0.0,0.0,102
0.20505226,0.31155568,0.0,1.0,0.0,0.0,1.0,0.0,103
0.13264409,0.2278313,0.0,1.0,0.0,0.0,0.0,0.0,104
0.12641011,0.20850621,0.0,1.0,0.0,0.0,1.0,0.0,105
0.1202955,0.18988013,0.0,1.0,0.0,0.0,0.0,0.0,106
0.20680395,0.33271256,0.0,1.0,0.0,0.0,0.0,1.0,107
0.11351323,0.16911277,0.0,1.0,0.0,0.0,1.0,0.0,108
0.34804422,0.42110962,0.0,1.0,0.0,0.0,0.0,0.0,109
0.30523545,0.42569295,0.0,1.0,0.0,0.0,1.0,0.0,110
0.28459546,0.3989197,0.0,1.0,0.0,0.0,1.0,0.0,111
0.3188595,0.45502895,0.0,1.0,0.0,0.0,1.0,0.0,112
0.3025485,0.3982342,0.0,1.0,0.0,0.0,1.0,0.0,113
0.2949051,0.40483886,0.0,1.0,0.0,0.0,0.0,0.0,114
