source,target,type,source_type,target_type,0
130,159,cerca_de,cuadra,water_channel,0.89496166
131,35,cerca_de,cuadra,water_channel,0.47427386
131,159,cerca_de,cuadra,water_channel,0.5591306
132,35,cerca_de,cuadra,water_channel,0.08255565
133,35,cerca_de,cuadra,water_channel,0.27813295
133,159,cerca_de,cuadra,water_channel,0.7081018
134,35,cerca_de,cuadra,water_channel,0.5160846
134,159,cerca_de,cuadra,water_channel,0.8674236
135,35,cerca_de,cuadra,water_channel,0.3282462
135,159,cerca_de,cuadra,water_channel,0.9970177
136,35,cerca_de,cuadra,water_channel,0.5806447
137,35,cerca_de,cuadra,water_channel,0.39908394
138,35,cerca_de,cuadra,water_channel,0.6507997
139,35,cerca_de,cuadra,water_channel,0.46364033
140,35,cerca_de,cuadra,water_channel,0.5878353
141,35,cerca_de,cuadra,water_channel,0.429876
142,35,cerca_de,cuadra,water_channel,0.086457215
143,35,cerca_de,cuadra,water_channel,0.29137865
144,35,cerca_de,cuadra,water_channel,0.3102837
145,35,cerca_de,cuadra,water_channel,0.08927125
146,35,cerca_de,cuadra,water_channel,0.09875582
147,35,cerca_de,cuadra,water_channel,0.18247753
148,35,cerca_de,cuadra,water_channel,0.11422783
149,159,cerca_de,cuadra,water_channel,0.25207743
150,159,cerca_de,cuadra,water_channel,0.17750786
151,159,cerca_de,cuadra,water_channel,0.15460414
152,159,cerca_de,cuadra,water_channel,0.30525613
153,159,cerca_de,cuadra,water_channel,0.4585185
154,159,cerca_de,cuadra,water_channel,0.2905152
155,159,cerca_de,cuadra,water_channel,0.40456873
156,159,cerca_de,cuadra,water_channel,0.57828575
157,159,cerca_de,cuadra,water_channel,0.70621336
158,159,cerca_de,cuadra,water_channel,0.71114117
159,159,cerca_de,cuadra,water_channel,0.58164245
160,157,cerca_de,cuadra,water_channel,0.8942901
160,159,cerca_de,cuadra,water_channel,0.04705441
161,159,cerca_de,cuadra,water_channel,0.4590851
162,159,cerca_de,cuadra,water_channel,0.37951082
163,159,cerca_de,cuadra,water_channel,0.51077944
164,159,cerca_de,cuadra,water_channel,0.6362913
165,159,cerca_de,cuadra,water_channel,0.6281629
166,159,cerca_de,cuadra,water_channel,0.6165001
167,159,cerca_de,cuadra,water_channel,0.37771758
168,159,cerca_de,cuadra,water_channel,0.40301275
169,159,cerca_de,cuadra,water_channel,0.54631
170,157,cerca_de,cuadra,water_channel,0.9048149
170,159,cerca_de,cuadra,water_channel,0.043933474
171,35,cerca_de,cuadra,water_channel,0.856701
171,159,cerca_de,cuadra,water_channel,0.800938
172,35,cerca_de,cuadra,water_channel,0.7510918
173,35,cerca_de,cuadra,water_channel,0.83371246
173,159,cerca_de,cuadra,water_channel,0.8850105
174,159,cerca_de,cuadra,water_channel,0.7678836
175,35,cerca_de,cuadra,water_channel,0.84331316
176,35,cerca_de,cuadra,water_channel,0.7654073
177,35,cerca_de,cuadra,water_channel,0.8980471
177,159,cerca_de,cuadra,water_channel,0.91555834
178,35,cerca_de,cuadra,water_channel,0.7415477
178,159,cerca_de,cuadra,water_channel,0.8165624
179,35,cerca_de,cuadra,water_channel,0.9999741
179,159,cerca_de,cuadra,water_channel,0.6331569
180,157,cerca_de,cuadra,water_channel,0.9964615
180,159,cerca_de,cuadra,water_channel,0.12507305
181,35,cerca_de,cuadra,water_channel,0.85058576
181,159,cerca_de,cuadra,water_channel,0.5665497
182,35,cerca_de,cuadra,water_channel,0.7203372
182,159,cerca_de,cuadra,water_channel,0.7677841
183,35,cerca_de,cuadra,water_channel,0.70350516
183,159,cerca_de,cuadra,water_channel,0.56733626
184,35,cerca_de,cuadra,water_channel,0.8482917
184,159,cerca_de,cuadra,water_channel,0.48564327
185,35,cerca_de,cuadra,water_channel,0.9554688
185,159,cerca_de,cuadra,water_channel,0.37016362
186,35,cerca_de,cuadra,water_channel,0.6712414
186,159,cerca_de,cuadra,water_channel,0.40926507
187,157,cerca_de,cuadra,water_channel,0.9400292
187,159,cerca_de,cuadra,water_channel,0.056840226
188,159,cerca_de,cuadra,water_channel,0.24326329
189,159,cerca_de,cuadra,water_channel,0.3151617
190,159,cerca_de,cuadra,water_channel,0.09212391
191,159,cerca_de,cuadra,water_channel,0.1488709
192,159,cerca_de,cuadra,water_channel,0.03339169
193,35,cerca_de,cuadra,water_channel,0.608461
193,159,cerca_de,cuadra,water_channel,0.12763558
194,35,cerca_de,cuadra,water_channel,0.8608482
194,159,cerca_de,cuadra,water_channel,0.0260546
195,35,cerca_de,cuadra,water_channel,0.8465584
195,159,cerca_de,cuadra,water_channel,0.055169888
196,35,cerca_de,cuadra,water_channel,0.7070337
